filename,zip_source,path_in_zip,dataset_source,in_previous_dataset,original_class,canonical_class,display_name,crop,disease,healthy,group_id,split
00075aa8-d81a-4184-8541-b692b78d398a___FREC_Scab 3335.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/00075aa8-d81a-4184-8541-b692b78d398a___FREC_Scab 3335.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,00075aa8-d81a-4184-8541-b692b78d398a,val
00075aa8-d81a-4184-8541-b692b78d398a___FREC_Scab 3335_270deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/valid/Apple___Apple_scab/00075aa8-d81a-4184-8541-b692b78d398a___FREC_Scab 3335_270deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,00075aa8-d81a-4184-8541-b692b78d398a,val
00075aa8-d81a-4184-8541-b692b78d398a___FREC_Scab 3335_90deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/valid/Apple___Apple_scab/00075aa8-d81a-4184-8541-b692b78d398a___FREC_Scab 3335_90deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,00075aa8-d81a-4184-8541-b692b78d398a,val
00075aa8-d81a-4184-8541-b692b78d398a___FREC_Scab 3335_new30degFlipLR.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/valid/Apple___Apple_scab/00075aa8-d81a-4184-8541-b692b78d398a___FREC_Scab 3335_new30degFlipLR.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,00075aa8-d81a-4184-8541-b692b78d398a,val
01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,01a66316-0e98-4d3b-a56f-d78752cd043f,val
01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003_270deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003_270deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,01a66316-0e98-4d3b-a56f-d78752cd043f,val
01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003_90deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003_90deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,01a66316-0e98-4d3b-a56f-d78752cd043f,val
01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003_new30degFlipLR.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/01a66316-0e98-4d3b-a56f-d78752cd043f___FREC_Scab 3003_new30degFlipLR.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,01a66316-0e98-4d3b-a56f-d78752cd043f,val
01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,01f3deaa-6143-4b6c-9c22-620a46d8be04,train
01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112_90deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112_90deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,01f3deaa-6143-4b6c-9c22-620a46d8be04,train
01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112_new30degFlipLR.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112_new30degFlipLR.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,01f3deaa-6143-4b6c-9c22-620a46d8be04,train
01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112_270deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/valid/Apple___Apple_scab/01f3deaa-6143-4b6c-9c22-620a46d8be04___FREC_Scab 3112_270deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,01f3deaa-6143-4b6c-9c22-620a46d8be04,train
0208f4eb-45a4-4399-904e-989ac2c6257c___FREC_Scab 3037.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/0208f4eb-45a4-4399-904e-989ac2c6257c___FREC_Scab 3037.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0208f4eb-45a4-4399-904e-989ac2c6257c,train
0208f4eb-45a4-4399-904e-989ac2c6257c___FREC_Scab 3037_270deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/0208f4eb-45a4-4399-904e-989ac2c6257c___FREC_Scab 3037_270deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0208f4eb-45a4-4399-904e-989ac2c6257c,train
0208f4eb-45a4-4399-904e-989ac2c6257c___FREC_Scab 3037_new30degFlipLR.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/train/Apple___Apple_scab/0208f4eb-45a4-4399-904e-989ac2c6257c___FREC_Scab 3037_new30degFlipLR.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0208f4eb-45a4-4399-904e-989ac2c6257c,train
0208f4eb-45a4-4399-904e-989ac2c6257c___FREC_Scab 3037_90deg.JPG,newplantarchive.zip,New Plant Diseases Dataset(Augmented)/New Plant Diseases Dataset(Augmented)/valid/Apple___Apple_scab/0208f4eb-45a4-4399-904e-989ac2c6257c___FREC_Scab 3037_90deg.JPG,new_dataset,True,Apple___Apple_scab,apple_scab,Apple - Apple Scab,Apple,Apple Scab,False,0208f4eb-45a4-4399-904e-989ac2c6257c,train
