image_path,dataset_source,crop,disease,normalized_class,provenance_source,original_title
data/camera_screen_test/cam_screen_Alternaria_solani_2.jpg,camera_screen_simulation,Tomato,Early Blight,Tomato - Early Blight,Phone camera of screen: Wikimedia Commons (In-field photo),cam_screen_Alternaria_solani_2.jpg
data/camera_screen_test/cam_screen_Alternaria_solani___leaf_lesions.jpg,camera_screen_simulation,Tomato,Early Blight,Tomato - Early Blight,Phone camera of screen: Wikimedia Commons (In-field photo),cam_screen_Alternaria_solani___leaf_lesions.jpg
data/camera_screen_test/cam_screen_Puccinia_sorghi_01.jpg,camera_screen_simulation,Corn (Maize),Common Rust,Corn (Maize) - Common Rust,Phone camera of screen: Wikimedia Commons (In-field photo),cam_screen_Puccinia_sorghi_01.jpg
data/camera_screen_test/cam_screen_Puccinia_sorghi_02.jpg,camera_screen_simulation,Corn (Maize),Common Rust,Corn (Maize) - Common Rust,Phone camera of screen: Wikimedia Commons (In-field photo),cam_screen_Puccinia_sorghi_02.jpg
data/camera_screen_test/cam_screen_Puccinia_sorghi_05.jpg,camera_screen_simulation,Corn (Maize),Common Rust,Corn (Maize) - Common Rust,Phone camera of screen: Wikimedia Commons (In-field photo),cam_screen_Puccinia_sorghi_05.jpg
data/camera_screen_test/cam_screen_Puccinia_sorghi_06.jpg,camera_screen_simulation,Corn (Maize),Common Rust,Corn (Maize) - Common Rust,Phone camera of screen: Wikimedia Commons (In-field photo),cam_screen_Puccinia_sorghi_06.jpg
data/camera_screen_test/cam_screen_Puccinia_sorghi_08.jpg,camera_screen_simulation,Corn (Maize),Common Rust,Corn (Maize) - Common Rust,Phone camera of screen: Wikimedia Commons (In-field photo),cam_screen_Puccinia_sorghi_08.jpg
data/camera_screen_test/cam_screen_AppleCedarRust1.JPG,camera_screen_simulation,Apple,Cedar Apple Rust,Apple - Cedar Apple Rust,Phone camera of screen: NewPlantDiseasesDataset Test Set (Never in Train/Val),cam_screen_AppleCedarRust1.JPG
data/camera_screen_test/cam_screen_AppleCedarRust2.JPG,camera_screen_simulation,Apple,Cedar Apple Rust,Apple - Cedar Apple Rust,Phone camera of screen: NewPlantDiseasesDataset Test Set (Never in Train/Val),cam_screen_AppleCedarRust2.JPG
data/camera_screen_test/cam_screen_AppleCedarRust3.JPG,camera_screen_simulation,Apple,Cedar Apple Rust,Apple - Cedar Apple Rust,Phone camera of screen: NewPlantDiseasesDataset Test Set (Never in Train/Val),cam_screen_AppleCedarRust3.JPG
data/camera_screen_test/cam_screen_AppleCedarRust4.JPG,camera_screen_simulation,Apple,Cedar Apple Rust,Apple - Cedar Apple Rust,Phone camera of screen: NewPlantDiseasesDataset Test Set (Never in Train/Val),cam_screen_AppleCedarRust4.JPG
data/camera_screen_test/cam_screen_AppleScab1.JPG,camera_screen_simulation,Apple,Apple Scab,Apple - Apple Scab,Phone camera of screen: NewPlantDiseasesDataset Test Set (Never in Train/Val),cam_screen_AppleScab1.JPG
data/camera_screen_test/cam_screen_AppleScab2.JPG,camera_screen_simulation,Apple,Apple Scab,Apple - Apple Scab,Phone camera of screen: NewPlantDiseasesDataset Test Set (Never in Train/Val),cam_screen_AppleScab2.JPG
data/camera_screen_test/cam_screen_AppleScab3.JPG,camera_screen_simulation,Apple,Apple Scab,Apple - Apple Scab,Phone camera of screen: NewPlantDiseasesDataset Test Set (Never in Train/Val),cam_screen_AppleScab3.JPG
data/camera_screen_test/cam_screen_CornCommonRust1.JPG,camera_screen_simulation,Corn (Maize),Common Rust,Corn (Maize) - Common Rust,Phone camera of screen: NewPlantDiseasesDataset Test Set (Never in Train/Val),cam_screen_CornCommonRust1.JPG
data/camera_screen_test/cam_screen_CornCommonRust2.JPG,camera_screen_simulation,Corn (Maize),Common Rust,Corn (Maize) - Common Rust,Phone camera of screen: NewPlantDiseasesDataset Test Set (Never in Train/Val),cam_screen_CornCommonRust2.JPG
